symbol,name,reportDate,fiscalDateEnding,estimate,currency
A,Agilent Technologies Inc,2023-11-20,2023-10-31,1.35,USD
AA,Alcoa Corp,2024-01-16,2023-12-31,-0.71,USD
AABVF,AABVF,2023-12-14,2023-10-31,,CAD
AACAY,AACAY,2023-11-09,2023-09-30,0.0308,CNY
AACG,ATA Creativity Global,2023-11-28,2023-09-30,,CNY
AACTF,AACTF,2023-11-29,2023-09-30,,CAD
AADI,Aadi Bioscience Inc,2023-11-08,2023-09-30,-0.72,USD
AAGIY,AAGIY,2023-11-29,2023-09-30,0,USD
AAIC,Arlington Asset Investment Corp - Class A,2023-11-13,2023-09-30,0.07,USD
AAIGF,AAIGF,2023-11-29,2023-09-30,0,USD
AAIRD,AAIRD,2023-12-04,2023-09-30,,CAD
AAIRF,AAIRF,2023-12-04,2023-09-30,,CAD
AAL,American Airlines Group Inc,2024-01-24,2023-12-31,0.03,USD
AAM-PA,AAM-PA,2023-11-06,2023-09-30,,USD
AAME,Atlantic American Corp,2023-11-06,2023-09-30,,USD
AAOI,Applied Optoelectronics Inc,2023-11-09,2023-09-30,-0.05,USD
AAON,AAON Inc,2023-11-06,2023-09-30,0.55,USD
AAP,Advance Auto Parts Inc,2023-11-15,2023-09-30,1.45,USD
AAPL,Apple Inc,2024-01-31,2023-12-31,2.12,USD
AATC,AATC,2023-11-14,2023-09-30,0,USD
AATGF,AATGF,2023-11-29,2023-09-30,,CAD
AAWH,AAWH,2023-11-07,2023-09-30,-0.08,USD
ABAT,Advanced Battery Technologies Inc,2023-11-13,2023-09-30,,USD
ABBNY,ABBNY,2024-02-01,2023-12-31,0.5083,USD
ABBRF,ABBRF,2023-11-28,2023-09-30,0,CAD
ABC,ABC,2024-01-30,2023-12-31,,USD
ABCAF,ABCAF,2023-11-21,2023-09-30,,CAD
ABCB,Ameris Bancorp,2024-01-24,2023-12-31,1.1,USD
ABEO,Abeona Therapeutics Inc,2023-11-13,2023-09-30,-0.53,USD
ABG,Asbury Automotive Group Inc,2024-01-31,2023-12-31,7.56,USD
ABILF,ABILF,2023-11-14,2023-09-30,0,USD
ABL,Abacus Life Inc - Class A,2023-11-13,2023-09-30,,USD
ABLZF,ABLZF,2024-02-01,2023-12-31,0.5083,USD
ABM,ABM Industries Inc,2023-12-11,2023-10-31,0.92,USD
ABMBF,ABMBF,2024-01-25,2023-12-31,,USD
ABMC,ABMC,2023-11-16,2023-09-30,0,USD
ABML,ABML,2023-11-13,2023-09-30,-0.01,USD
ABMLD,ABMLD,2023-11-13,2023-09-30,-0.01,USD
ABNAF,ABNAF,2024-01-26,2023-12-31,,CAD
ABOS,Acumen Pharmaceuticals Inc,2023-11-13,2023-09-30,-0.2629,USD
ABSI,Absci Corp,2023-11-08,2023-09-30,-0.23,USD
ABSSF,ABSSF,2023-11-08,2023-09-30,,USD
ABST,ABST,2023-11-06,2023-09-30,-0.105,USD
ABT,Abbott Laboratories,2024-01-23,2023-12-31,1.12,USD
ABTI,ABTI,2023-11-17,2023-09-30,,USD
ABUS,Arbutus Biopharma Corp,2023-11-07,2023-09-30,-0.11,USD
ABVC,ABVC BioPharma Inc,2023-11-13,2023-09-30,-0.04,USD
AC,Associated Capital Group Inc - Class A,2023-11-09,2023-09-30,,USD
ACAI,ACAI,2024-01-24,2023-11-30,0,USD
ACAN,ACAN,2023-11-18,2023-09-30,,USD
ACB,Aurora Cannabis Inc,2023-11-09,2023-09-30,-0.0443,CAD
ACBM,ACBM,2023-11-22,2023-09-30,,USD
ACCD,Accolade Inc,2024-01-08,2023-11-30,-0.45,USD
ACDC,ProFrac Holding Corp Class A,2023-11-09,2023-09-30,0.1,USD
ACEL,Accel Entertainment Inc - Class A1,2023-11-07,2023-09-30,0.17,USD
ACER,Acer Therapeutics Inc,2023-11-13,2023-09-30,-0.12,USD
ACET,Adicet Bio Inc,2023-11-06,2023-09-30,-0.74,USD
ACFN,ACFN,2023-11-08,2023-09-30,,USD
ACFND,ACFND,2023-11-08,2023-09-30,,USD
ACGN,ACGN,2023-11-13,2023-09-30,,USD
ACHFF,ACHFF,2024-01-30,2023-12-31,,CAD
ACHL,Achilles Therapeutics Plc,2023-11-06,2023-09-30,-0.4,USD
ACHR,Archer Aviation Inc - Class A,2023-11-09,2023-09-30,-0.3,USD
ACHV,Achieve Life Sciences Inc,2023-11-09,2023-09-30,-0.38,USD
ACI,Albertsons Companies Inc - Class A,2024-01-08,2023-11-30,0.65,USD
ACIC,American Coastal Insurance Corp,2023-11-13,2023-09-30,-0.15,USD
ACKAY,ACKAY,2024-01-24,2023-12-31,0.6016,TRY
ACLHF,ACLHF,2024-01-25,2023-12-31,,CAD
ACLX,Arcellx Inc,2023-11-13,2023-09-30,-0.6331,USD
ACM,AECOM,2023-11-13,2023-09-30,0.97,USD
ACMR,ACM Research Inc - Class A,2023-11-07,2023-09-30,0.34,USD
ACN,Accenture plc - Class A,2023-12-19,2023-11-30,3.14,USD
ACNB,ACNB Corp,2024-01-24,2023-12-31,0.92,USD
ACNT,Ascent Industries Company,2023-11-08,2023-09-30,-0.12,USD
ACON,Aclarion Inc,2023-11-29,2023-09-30,-0.09,USD
ACRE,Ares Commercial Real Estate Corp,2023-11-03,2023-09-30,0.21,USD
ACRG,ACRG,2023-11-08,2023-09-30,,USD
ACRHF,ACRHF,2023-11-06,2023-09-30,,USD
ACRS,Aclaris Therapeutics Inc,2023-11-06,2023-09-30,-0.48,USD
ACRV,Acrivon Therapeutics Inc,2023-11-29,2023-09-30,-0.71,USD
ACRX,Acelrx Pharmaceuticals Inc,2023-11-08,2023-09-30,-0.28,USD
ACSAY,ACSAY,2023-11-09,2023-09-30,0.1266,EUR
ACST,Acasti Pharma Inc - Class A,2023-11-13,2023-09-30,-0.11,USD
ACTHF,ACTHF,2024-01-25,2023-11-30,,CAD
ACUR,ACUR,2023-11-13,2023-09-30,0,USD
ACUS,ACUS,2023-11-06,2023-09-30,0,USD
ACVA,ACV Auctions Inc - Class A,2023-11-06,2023-09-30,-0.14,USD
ACWRF,ACWRF,2023-11-21,2023-09-30,,CAD
ACXP,Acurx Pharmaceuticals Inc,2023-11-14,2023-09-30,-0.27,USD
ADAG,Adagene Inc,2023-11-29,2023-09-30,-0.38,USD
ADAP,Adaptimmune Therapeutics Plc,2023-11-08,2023-09-30,-0.12,USD
ADBE,Adobe Inc,2023-12-13,2023-11-30,3.9,USD
ADCOF,ADCOF,2023-11-13,2023-09-30,,USD
ADCT,Adc Therapeutics SA,2023-11-07,2023-09-30,-0.63,USD
